,iso_code,gdp_per_capita,population,total_cases,new_cases,new_deaths,icu_patients,hosp_patients,new_tests,new_vaccinations,stringency_index,cases_per_capita
10621,BGR,18563.307,6948445.0,208406.0,394.0,19.0,380.0,4186.0,9868.0,118.0,53.7,33.34090669174592
10624,BGR,18563.307,6948445.0,209881.0,750.0,47.0,375.0,4046.0,7799.0,1619.0,53.7,33.106593736450655
10625,BGR,18563.307,6948445.0,210416.0,535.0,70.0,367.0,3945.0,9642.0,1258.0,53.7,33.022417496768306
10626,BGR,18563.307,6948445.0,210951.0,535.0,47.0,348.0,3681.0,7565.0,648.0,53.7,32.938668221530115
10627,BGR,18563.307,6948445.0,211503.0,552.0,61.0,343.0,3631.0,7431.0,440.0,53.7,32.8527018529288
10628,BGR,18563.307,6948445.0,211736.0,233.0,17.0,343.0,3500.0,8849.0,206.0,53.7,32.816549854535836
10629,BGR,18563.307,6948445.0,211813.0,77.0,9.0,340.0,3485.0,4628.0,121.0,53.7,32.80462011302422
10630,BGR,18563.307,6948445.0,212383.0,570.0,82.0,341.0,3485.0,1194.0,1185.0,53.7,32.716578068866156
10631,BGR,18563.307,6948445.0,212927.0,544.0,49.0,329.0,3312.0,7959.0,2588.0,53.7,32.63299158866654
10632,BGR,18563.307,6948445.0,213409.0,482.0,37.0,318.0,3223.0,7920.0,1901.0,53.7,32.559287565191724
10633,BGR,18563.307,6948445.0,213864.0,455.0,90.0,327.0,3220.0,8052.0,1124.0,53.7,32.49001702016235
10634,BGR,18563.307,6948445.0,214430.0,566.0,58.0,297.0,3045.0,7672.0,850.0,53.7,32.40425779974817
10635,BGR,18563.307,6948445.0,214696.0,266.0,12.0,284.0,2844.0,9786.0,18.0,53.7,32.364110183701605
10636,BGR,18563.307,6948445.0,214817.0,121.0,9.0,281.0,2857.0,4479.0,24.0,53.7,32.34588044707821
10637,BGR,18563.307,6948445.0,215589.0,772.0,60.0,283.0,2874.0,1207.0,655.0,53.7,32.23005348139284
10638,BGR,18563.307,6948445.0,216416.0,827.0,36.0,279.0,2822.0,13539.0,2324.0,53.7,32.10689135738578
